TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cleaned,Label_Encoded,Target
0.007207441957422414,2023-04-11 16:29:14,Debit,San Diego,ATM,0.8387096774193548,Doctor,0.24482758620689654,0.0,0.33683185966818,2024-11-04 08:08:08,tx000001,0.2545454545454545,0
0.1959402767282487,2023-06-27 16:44:19,Debit,Houston,ATM,0.8064516129032258,Doctor,0.45172413793103444,0.0,0.9180546275595326,2024-11-04 08:09:35,tx000002,0.9090909090909091,0
0.0656799645621075,2023-07-10 18:16:08,Debit,Mesa,Online,0.016129032258064557,Student,0.1586206896551724,0.0,0.06863734931174438,2024-11-04 08:07:04,tx000003,0.03636363636363636,0
0.0960158428225239,2023-05-05 16:32:11,Debit,Raleigh,Online,0.12903225806451613,Student,0.05172413793103449,0.0,0.569197956003802,2024-11-04 08:09:06,tx000004,0.13737373737373737,0
0.006873908851655939,2023-10-16 17:51:24,Credit,Atlanta,Online,,Student,0.6482758620689656,0.0,0.4925911187531677,2024-11-04 08:06:39,tx000005,0.8202020202020202,0
0.04788805795137713,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,0.0,Student,0.5586206896551724,0.0,0.045737843102722775,2024-11-04 08:06:36,tx000006,0.7838383838383839,0
0.003554212158323996,2023-02-15 16:36:48,Credit,Seattle,ATM,0.30645161290322587,Doctor,0.44482758620689655,0.0,0.8883303734554748,2024-11-04 08:10:09,tx000007,0.397979797979798,0
0.08919925997342157,2023-05-08 17:47:59,Credit,Indianapolis,Branch,0.7903225806451613,Retired,0.9689655172413792,0.0,0.18115460779713835,2024-11-04 08:10:55,tx000008,0.13535353535353536,0
0.05522578627823957,2023-03-21 16:59:46,Credit,Detroit,Branch,0.532258064516129,Engineer,0.26206896551724135,0.0,0.6045605421617909,2024-11-04 08:11:14,tx000009,0.2686868686868687,0
0.4250983662089272,2023-03-31 16:06:57,Debit,Nashville,ATM,0.5967741935483871,Doctor,0.3793103448275862,0.0,0.06188385358620237,2024-11-04 08:06:32,tx000010,0.7676767676767676,0
0.009130468770357246,2023-03-14 16:46:10,Credit,Albuquerque,Online,0.5483870967741935,Engineer,0.16896551724137931,0.0,0.5040264197666963,2024-11-04 08:06:45,tx000011,0.298989898989899,0
0.09889256585975975,2023-02-06 17:30:00,Debit,Memphis,Online,0.04838709677419356,Student,0.5620689655172414,0.0,0.09595919536134934,2024-11-04 08:07:12,tx000012,0.9171717171717172,0
0.2575813638377153,2023-06-07 17:21:28,Credit,Mesa,Branch,0.09677419354838712,Student,0.3482758620689655,0.0,0.10209024288923516,2024-11-04 08:08:38,tx000013,0.7818181818181819,0
0.40727519086953123,2023-11-20 16:39:15,Debit,Memphis,ATM,0.12903225806451613,Student,0.3896551724137931,0.0,0.005944850820811549,2024-11-04 08:07:06,tx000014,0.5252525252525253,0
0.08689058550694426,2023-02-13 16:53:57,Debit,Louisville,Online,0.0,Student,0.4275862068965517,0.0,0.013355076448200345,2024-11-04 08:10:09,tx000015,0.16767676767676767,0
0.2424316647992287,2023-12-12 16:23:31,Debit,Denver,ATM,0.29032258064516125,Engineer,0.4103448275862069,0.0,0.22614430312017286,2024-11-04 08:12:19,tx000016,0.5373737373737374,0
0.2895171587148552,2023-10-30 16:52:49,Credit,Austin,Branch,0.016129032258064557,Student,0.5103448275862069,0.0,0.06923627084966197,2024-11-04 08:07:35,tx000017,0.6323232323232323,0
0.2567527425280767,2023-12-14 18:32:14,Debit,Columbus,Online,0.33870967741935487,Engineer,0.7724137931034483,0.0,0.3366812890458528,2024-11-04 08:11:51,tx000018,0.7151515151515152,0
0.00959949970034135,2023-02-21 16:56:50,Credit,Albuquerque,Branch,0.6612903225806451,Retired,0.3310344827586207,0.0,0.5274757776233234,2024-11-04 08:12:01,tx000019,0.4808080808080808,0
0.037115980926075515,2023-06-08 18:18:50,Credit,Columbus,Online,0.0,Student,0.5482758620689655,0.0,0.4347283074114356,2024-11-04 08:09:20,tx000020,0.5676767676767677,0
0.030778851916512494,2023-02-28 16:36:58,Debit,Los Angeles,Branch,0.8548387096774193,Retired,0.09655172413793102,0.0,0.3797633083592239,2024-11-04 08:09:24,tx000021,0.00202020202020202,0
0.04456314980326758,2023-08-11 18:31:31,Debit,Las Vegas,Branch,0.32258064516129037,Doctor,0.2862068965517241,0.0,0.607992073532239,2024-11-04 08:08:13,tx000022,0.026262626262626262,0
0.027068296114860464,2023-06-06 18:54:15,Debit,Atlanta,Online,0.33870967741935487,Engineer,0.3793103448275862,0.0,0.5964801428269905,2024-11-04 08:07:01,tx000023,0.18787878787878787,0
0.18009745420434112,2023-05-02 18:25:46,Debit,Fort Worth,Online,0.06451612903225812,Student,0.4551724137931034,0.5,0.0874687599568185,2024-11-04 08:07:04,tx000024,0.9050505050505051,0
